"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"1","Volkswagen","Polo","2008","181 000 km","1 390 cm3","Benzyna","80 KM","Auta miejskie","Czarny","15999"
"2","Kia","Ceed","2008","179 000 km","1 582 cm3","Diesel","115 KM","Kombi","Szary","13500"
"3","Toyota","Land Cruiser","2022","2 000 km","2 755 cm3","Diesel","204 KM","SUV","Beżowy","287000"
"4","Fiat","500X","2015","89 024 km","1 368 cm3","Benzyna","140 KM","Auta miejskie","Inny kolor","62730"
"5","Toyota","Prius","2009","289 820 km","1 798 cm3","Hybryda","99 KM","Kompakt","Szary","40500"
"6","Ford","S-Max","2007","345 000 km","1 753 cm3","Diesel","125 KM","Minivan","Srebrny","17600"
"7","Audi","Q7","2014","250 000 km","2 995 cm3","Benzyna","272 KM","SUV","Srebrny","52900"
"8","BMW","Seria 5","2017","191 000 km","1 995 cm3","Diesel","190 KM","Sedan","Granatowy","115000"
"9","Volvo","V50","2008","246 000 km","1 560 cm3","Diesel","110 KM","Kombi","Inny kolor","15900"
"10","Renault","Captur","2015","80 297 km","898 cm3","Benzyna","90 KM","SUV","Czerwony","48000"
"11","Volvo","V70","2010","235 000 km","1 560 cm3","Diesel","109 KM","Kombi","Inny kolor","28600"
"12","Volkswagen","Scirocco","2010","204 000 km","1 390 cm3","Benzyna","160 KM","Kompakt","Biały","34600"
"13","Citroën","C3","2020","10 700 km","1 199 cm3","Benzyna","83 KM","Auta miejskie","Beżowy","54900"
"14","Audi","A6","2006","307 000 km","2 698 cm3","Diesel","180 KM","Sedan","Inny kolor","27500"
"15","Audi","A8","1995","282 000 km","2 800 cm3","Benzyna+LPG","174 KM","Sedan","Bordowy","19900"
"16","Renault","Clio","2015","78 658 km","1 149 cm3","Benzyna","73 KM","Kompakt","Szary","39900"
"17","Volkswagen","Passat","2016","174 047 km","1 598 cm3","Diesel","120 KM","Kombi","Brązowy","60900"
"18","Mercedes-Benz","GLK","2015","168 544 km","1 991 cm3","Benzyna","210 KM","SUV","Biały","84900"
"19","Ford","Mondeo","2016","73 888 km","1 499 cm3","Benzyna","160 KM","Kompakt","Beżowy","56000"
"20","Honda","CR-V","2013","142 891 km","1 597 cm3","Diesel","120 KM","SUV","Biały","59900"
"21","Mitsubishi","Outlander","2013","214 000 km","1 998 cm3","Benzyna","150 KM","SUV","Czarny","66666"
"22","Opel","Corsa","2017","62 692 km","1 398 cm3","Benzyna","90 KM","Auta miejskie","Czarny","42500"
"23","Smart","Forfour","2016","113 000 km","998 cm3","Hybryda","71 KM","Auta małe","Czarny","23900"
"24","Toyota","Yaris","2007","135 761 km","1 298 cm3","Benzyna","87 KM","Auta miejskie","Niebieski","18500"
"25","BMW","Seria 3","2009","180 000 km","1 995 cm3","Benzyna","143 KM","Kombi","Czarny","22000"
"26","Peugeot","Partner","2019","53 500 km","1 560 cm3","Diesel","99 KM","Minivan","Szary","62000"
"27","Volkswagen","Passat","2012","144 550 km","1 798 cm3","Benzyna","160 KM","Kombi","Brązowy","48900"
"28","Suzuki","SX4 S-Cross","2017","39 000 km","998 cm3","Benzyna","111 KM","SUV","Biały","75000"
"29","Toyota","Avensis","2004","253 200 km","1 794 cm3","Benzyna+LPG","129 KM","Sedan","Szary","19500"
